model,domain,prompt_name,verbalizer,shots,true_token_text,false_token_text,true_token_ids,false_token_ids,single_token_readout,n_rows,n_true,n_false,accuracy_from_logit_sign,auc,separability_auc,predicted_true_rate,mean_true_minus_false_logit_diff,mean_diff_on_true_examples,mean_diff_on_false_examples,std_true_minus_false_logit_diff
gpt2,all,answer_true_false,lower_true_false,0, true, false,2081,3991,True,528,264,264,0.5,0.5012339302112029,0.5012339302112029,1.0,1.5699642896652222,1.5685771703720093,1.5713517665863037,0.11803974211215973
gpt2,all,answer_true_false,lower_true_false,2, true, false,2081,3991,True,528,264,264,0.5,0.5028122130394858,0.5028122130394858,1.0,1.6188286542892456,1.6167954206466675,1.6208618879318237,0.09406937658786774
gpt2,all,statement_is,lower_true_false,0, true, false,2081,3991,True,528,264,264,0.5,0.49921085858585856,0.5007891414141414,1.0,1.5784798860549927,1.5780822038650513,1.578877568244934,0.052136313170194626
gpt2,all,statement_is,lower_true_false,2, true, false,2081,3991,True,528,264,264,0.4962121212121212,0.5006169651056015,0.5006169651056015,0.9924242424242424,1.580280065536499,1.5739798545837402,1.5865802764892578,0.19623416662216187
gpt2,all,answer_True_False,title_true_false,0, True, False,6407,10352,True,528,264,264,0.5,0.5141041092745638,0.5141041092745638,1.0,1.5153836011886597,1.5145564079284668,1.5162107944488525,0.06408704817295074
gpt2,all,answer_True_False,title_true_false,2, True, False,6407,10352,True,528,264,264,0.5,0.4936653466483012,0.5063346533516988,1.0,1.5048545598983765,1.5028228759765625,1.5068861246109009,0.03580152615904808
gpt2,all,answer_yes_no,yes_no,0, yes, no,3763,645,True,528,264,264,0.5018939393939394,0.54160927456382,0.54160927456382,0.00946969696969697,-1.9948004484176636,-1.9873974323272705,-2.0022034645080566,0.2991359829902649
gpt2,all,answer_yes_no,yes_no,2, yes, no,3763,645,True,528,264,264,0.5018939393939394,0.5237531565656566,0.5237531565656566,0.00946969696969697,-1.9768438339233398,-1.969383716583252,-1.9843038320541382,0.3296355903148651
gpt2,all,statement_correct,correct_incorrect,0, correct, incorrect,3376,11491,True,528,264,264,0.5,0.5091396923783287,0.5091396923783287,1.0,2.055812358856201,2.054701805114746,2.0569229125976562,0.07819842547178268
gpt2,all,statement_correct,correct_incorrect,2, correct, incorrect,3376,11491,True,528,264,264,0.5,0.5058683425160697,0.5058683425160697,1.0,2.053036689758301,2.0507466793060303,2.0553267002105713,0.06550711393356323
gpt2,capital,answer_true_false,lower_true_false,0, true, false,2081,3991,True,152,76,76,0.5,0.502770083102493,0.502770083102493,1.0,1.554574966430664,1.5470408201217651,1.562109112739563,0.11387793719768524
gpt2,capital,answer_true_false,lower_true_false,2, true, false,2081,3991,True,152,76,76,0.5,0.4864958448753463,0.5135041551246537,1.0,1.6065219640731812,1.6049083471298218,1.6081358194351196,0.05330771580338478
gpt2,capital,statement_is,lower_true_false,0, true, false,2081,3991,True,152,76,76,0.5,0.49272853185595566,0.5072714681440443,1.0,1.556888222694397,1.5555052757263184,1.5582709312438965,0.04940687119960785
gpt2,capital,statement_is,lower_true_false,2, true, false,2081,3991,True,152,76,76,0.4934210526315789,0.4790512465373962,0.5209487534626038,0.993421052631579,1.5768752098083496,1.560402750968933,1.5933477878570557,0.22285538911819458
gpt2,capital,answer_True_False,title_true_false,0, True, False,6407,10352,True,152,76,76,0.5,0.5302977839335181,0.5302977839335181,1.0,1.5104711055755615,1.505711555480957,1.5152308940887451,0.08547733724117279
gpt2,capital,answer_True_False,title_true_false,2, True, False,6407,10352,True,152,76,76,0.5,0.5076177285318559,0.5076177285318559,1.0,1.5004510879516602,1.4962480068206787,1.5046541690826416,0.05865234509110451
gpt2,capital,answer_yes_no,yes_no,0, yes, no,3763,645,True,152,76,76,0.506578947368421,0.6198060941828255,0.6198060941828255,0.006578947368421052,-1.9853744506835938,-1.9627386331558228,-2.008010149002075,0.23070459067821503
gpt2,capital,answer_yes_no,yes_no,2, yes, no,3763,645,True,152,76,76,0.506578947368421,0.5597299168975068,0.5597299168975068,0.006578947368421052,-1.9764034748077393,-1.952947735786438,-1.9998594522476196,0.27540603280067444
gpt2,capital,statement_correct,correct_incorrect,0, correct, incorrect,3376,11491,True,152,76,76,0.5,0.49463296398891965,0.5053670360110804,1.0,2.0524516105651855,2.045236110687256,2.059666872024536,0.09116332978010178
gpt2,capital,statement_correct,correct_incorrect,2, correct, incorrect,3376,11491,True,152,76,76,0.5,0.5043282548476454,0.5043282548476454,1.0,2.044654369354248,2.0400302410125732,2.049278974533081,0.07522575557231903
